datetime,temp,humidity,precip,windgust,windspeed,cloudcover,visibility,solarradiation,solarenergy,uvindex,city,tempmax,tempmin,feelslikemax,feelslikemin,feelslike,precipprob,snow,conditions
2019-01-01,8.8,76.3,0.0,21.2,16.5,22.3,15.6,76.7,6.400000000000001,4.0,Barcelona,,,,,,,,
2019-01-02,7.3,67.7,0.0,24.399999999999995,20.2,5.8,16.4,80.4,6.8,4.0,Barcelona,,,,,,,,
2019-01-03,5.8,72.7,0.0,20.5,17.9,5.599999999999999,15.0,79.5,6.8,4.0,Barcelona,,,,,,,,
2019-01-04,5.3,74.7,0.0,21.2,16.5,19.9,13.4,74.0,6.400000000000001,4.0,Barcelona,,,,,,,,
2019-01-05,6.8,66.9,0.0,25.899999999999995,16.8,11.300000000000002,13.1,81.9,7.0,4.0,Barcelona,,,,,,,,
2019-01-06,9.4,49.0,0.0,48.20000000000001,20.3,6.0,16.4,86.40000000000002,7.3,4.0,Barcelona,,,,,,,,
2019-01-07,7.5,58.20000000000001,0.0,24.8,15.6,28.3,15.4,80.6,7.0,4.0,Barcelona,,,,,,,,
2019-01-08,6.5,66.3,0.0,37.1,18.6,31.2,13.4,86.2,7.400000000000001,4.0,Barcelona,,,,,,,,
2019-01-09,8.5,68.9,0.0,35.3,26.5,13.4,15.199999999999998,83.7,7.099999999999999,4.0,Barcelona,,,,,,,,
2019-01-10,6.400000000000001,51.4,0.0,33.8,25.8,12.4,16.2,87.8,7.599999999999999,4.0,Barcelona,,,,,,,,
2019-01-11,3.8,55.4,0.0,22.7,13.4,2.3,16.3,89.40000000000002,7.7,4.0,Barcelona,,,,,,,,
2019-01-12,5.3,63.0,0.0,26.600000000000005,15.199999999999998,1.0,15.9,85.8,7.400000000000001,4.0,Barcelona,,,,,,,,
2019-01-13,7.7,69.1,0.0,25.600000000000005,14.699999999999998,17.8,15.6,79.2,6.900000000000001,4.0,Barcelona,,,,,,,,
2019-01-14,10.9,67.5,0.0,25.899999999999995,18.8,42.5,16.3,54.70000000000001,4.7,3.0,Barcelona,,,,,,,,
2019-01-15,8.1,79.5,0.0,42.5,16.1,5.900000000000001,14.300000000000002,90.8,7.7,4.0,Barcelona,,,,,,,,
