date,country,n,score
2019-01-01,Spain,74727,0.6329332143535804
2019-01-02,Spain,73857,0.597487668332047
2019-01-03,Spain,77294,0.590330687595415
2019-01-04,Spain,74888,0.5922957559155005
2019-01-05,Spain,78497,0.5977137680038728
2019-01-06,Spain,79275,0.5943463587007254
2019-01-07,Spain,74006,0.5884334892576277
2019-01-08,Spain,77124,0.5888481045329599
2019-01-09,Spain,77085,0.5920242943114743
2019-01-10,Spain,79879,0.5908570310219207
2019-01-11,Spain,74062,0.5952758333423348
2019-01-12,Spain,74698,0.5943602066989745
2019-01-13,Spain,83262,0.5886657508467249
2019-01-14,Spain,78389,0.5897004394366556
2019-01-15,Spain,77720,0.5899613405944416
2019-01-16,Spain,79029,0.5911473191107062
2019-01-17,Spain,79047,0.5904126354067833
2019-01-18,Spain,77578,0.5921078575369306
2019-01-19,Spain,76299,0.5905871412862554
2019-01-20,Spain,86402,0.588744207367885
2019-01-21,Spain,80668,0.5874408894976942
2019-01-22,Spain,83138,0.5863636177079073
2019-01-23,Spain,83429,0.5861550700236129
2019-01-24,Spain,83085,0.5961591433832821
2019-01-25,Spain,74992,0.5993335426045445
2019-01-26,Spain,79559,0.5919815940371297
2019-01-27,Spain,86528,0.591221168696838
2019-01-28,Spain,79662,0.591553963257262
2019-01-29,Spain,80650,0.5942875864724116
2019-01-30,Spain,81321,0.5930238476285338
2019-01-31,Spain,80198,0.5934813623905832
2019-02-01,Spain,79524,0.6006185460238418
2019-02-02,Spain,83470,0.6040241080867378
2019-02-03,Spain,84176,0.5967455361504467
2019-02-04,Spain,78996,0.5934518779938226
2019-02-05,Spain,78578,0.5960442421415664
2019-02-06,Spain,83835,0.5908989951929385
2019-02-07,Spain,85156,0.5948382607449857
2019-02-08,Spain,80899,0.5981532088406531
2019-02-09,Spain,82746,0.5939559965798951
2019-02-10,Spain,92696,0.5842761276646242
2019-02-11,Spain,71117,0.5973725269344883
2019-02-12,Spain,76418,0.5960318625585596
2019-02-13,Spain,87474,0.593848197955964
2019-02-14,Spain,85542,0.6077822485796451
2019-02-15,Spain,83752,0.5958651140032477
2019-02-16,Spain,81517,0.5939572677478318
2019-02-17,Spain,90315,0.5813415438077839
2019-02-18,Spain,86551,0.5882343382976511
2019-02-19,Spain,87057,0.5941923641407355
2019-02-20,Spain,87647,0.5968102981733545
2019-02-21,Spain,89616,0.5975791767318336
2019-02-22,Spain,81340,0.603949468551758
2019-02-23,Spain,81056,0.5995282488649822
2019-02-24,Spain,88150,0.5902904078162223
2019-02-25,Spain,87195,0.6012541504329377
2019-02-26,Spain,87194,0.6011588267885405
2019-02-27,Spain,89148,0.5928727575155921
2019-02-28,Spain,88416,0.602988247737966
2019-03-01,Spain,81347,0.6049694927655599
2019-03-02,Spain,82636,0.5950430482356358
2019-03-03,Spain,42375,0.5884223780058997
2019-03-04,Spain,85989,0.5891860658107433
2019-03-05,Spain,97185,0.5838664168544528
2019-03-06,Spain,87049,0.5947169183793036
2019-03-07,Spain,81695,0.5987096711916274
2019-03-08,Spain,79746,0.6039061925739221
2019-03-09,Spain,72800,0.5990491102472527
2019-03-10,Spain,81846,0.5894228910392689
2019-03-11,Spain,78756,0.593509677853116
2019-03-12,Spain,81935,0.5908182310734118
2019-03-13,Spain,79563,0.586192991264784
2019-03-14,Spain,84264,0.5968738558696478
2019-03-15,Spain,37623,0.5992764019349865
2019-03-16,Spain,39320,0.5971814965920651
2019-03-17,Spain,82328,0.596004948450102
2019-03-18,Spain,77709,0.6006122565854664
2019-03-19,Spain,79225,0.6065013394509309
2019-03-20,Spain,79824,0.6013805079299459
2019-03-21,Spain,81452,0.6055792059372391
2019-03-22,Spain,77165,0.6060950498542086
2019-03-23,Spain,75643,0.6056495140330236
2019-03-24,Spain,82822,0.5926638398010191
2019-03-25,Spain,80413,0.5965642395135116
2019-03-26,Spain,83061,0.5929967115975006
2019-03-27,Spain,82662,0.5986958663593912
2019-03-28,Spain,82853,0.59763630831714
2019-03-29,Spain,77942,0.6041664825896179
2019-03-30,Spain,77917,0.6009680877728865
2019-03-31,Spain,82197,0.587191674574498
2019-04-01,Spain,82948,0.5926972809591552
2019-04-02,Spain,85199,0.5948117840702356
2019-04-03,Spain,86719,0.596957902616497
2019-04-04,Spain,86565,0.5975212734823543
2019-04-05,Spain,82998,0.6007851915949782
2019-04-06,Spain,85192,0.6004445974856795
2019-04-07,Spain,87083,0.5953855804347576
2019-04-08,Spain,85139,0.5972938978141628
2019-04-09,Spain,83769,0.5968618731869785
2019-04-10,Spain,85919,0.600442814697564
2019-04-11,Spain,87828,0.6039050755226124
2019-04-12,Spain,78443,0.6092461424983746
2019-04-13,Spain,80764,0.6022113788569166
2019-04-14,Spain,86833,0.5912903653334561
2019-04-15,Spain,87813,0.5706047106464873
2019-04-16,Spain,85713,0.5874427978486344
2019-04-17,Spain,81797,0.5918808426592662
2019-04-18,Spain,82505,0.5925282602508939
2019-04-19,Spain,82207,0.591335946172467
2019-04-20,Spain,80989,0.5891915665707689
2019-04-21,Spain,88166,0.5840868812694235
2019-04-22,Spain,102136,0.5892896431131042
2019-04-23,Spain,105262,0.6019746345309798
2019-04-24,Spain,87615,0.5932479474176796
2019-04-25,Spain,88560,0.5975350425022584
2019-04-26,Spain,82821,0.604647321464363
2019-04-27,Spain,85364,0.6030663909024881
2019-04-28,Spain,116354,0.5870699114254775
