date,country,n,score
2019-01-01,Sweden,6816,0.6165770849471831
2019-01-02,Sweden,6837,0.5767161358783092
2019-01-03,Sweden,6719,0.5762437591903556
2019-01-04,Sweden,7179,0.5704746262710684
2019-01-05,Sweden,7075,0.5840504494699646
2019-01-06,Sweden,6470,0.5799461927357032
2019-01-07,Sweden,6868,0.5818597205882353
2019-01-08,Sweden,7024,0.584951554954442
2019-01-09,Sweden,7118,0.5890768881708345
2019-01-10,Sweden,7593,0.5881840214671408
2019-01-11,Sweden,9183,0.582532601219645
2019-01-12,Sweden,8697,0.5804947453144762
2019-01-13,Sweden,8065,0.5843750043397397
2019-01-14,Sweden,7711,0.5783350225651667
2019-01-15,Sweden,7514,0.5890417451424008
2019-01-16,Sweden,8341,0.584032800023978
2019-01-17,Sweden,7645,0.5871662758665794
2019-01-18,Sweden,8492,0.5928886636834667
2019-01-19,Sweden,7995,0.5887335053158224
2019-01-20,Sweden,7242,0.5836478156586579
2019-01-21,Sweden,7206,0.5830980653621982
2019-01-22,Sweden,7066,0.58187510670818
2019-01-23,Sweden,7608,0.5827449658254469
2019-01-24,Sweden,7707,0.591163158686908
2019-01-25,Sweden,7320,0.5939488400273224
2019-01-26,Sweden,7729,0.5882197288135593
2019-01-27,Sweden,6619,0.5831515600543888
2019-01-28,Sweden,6745,0.5824679174203115
2019-01-29,Sweden,7557,0.5814807861585285
2019-01-30,Sweden,8025,0.5849299409345794
2019-01-31,Sweden,7524,0.5860701064593302
2019-02-01,Sweden,7791,0.58674887395713
2019-02-02,Sweden,8585,0.5914896046592893
2019-02-03,Sweden,7536,0.5838510421974522
2019-02-04,Sweden,7533,0.5708936933492632
2019-02-05,Sweden,7398,0.58571916855907
2019-02-06,Sweden,7339,0.5907962257800791
2019-02-07,Sweden,7526,0.5883549144299761
2019-02-08,Sweden,8074,0.589149197919247
2019-02-09,Sweden,8238,0.5890377534595777
2019-02-10,Sweden,7161,0.5896108368942885
2019-02-11,Sweden,6308,0.5852044695624604
2019-02-12,Sweden,6536,0.5810276917074664
2019-02-13,Sweden,7489,0.5901767883562559
2019-02-14,Sweden,8083,0.5971630774464927
2019-02-15,Sweden,7752,0.5991377693498452
2019-02-16,Sweden,8779,0.5949292803280557
2019-02-17,Sweden,6846,0.5898024656733859
2019-02-18,Sweden,7324,0.5833360132441289
2019-02-19,Sweden,7016,0.590266134549601
2019-02-20,Sweden,7246,0.5909136672646979
2019-02-21,Sweden,7124,0.5907956396687255
2019-02-22,Sweden,7057,0.6046607123423551
2019-02-23,Sweden,8484,0.5965312876001886
2019-02-24,Sweden,7463,0.578678952833981
2019-02-25,Sweden,7220,0.5835105558171746
2019-02-26,Sweden,7438,0.5878040337456306
2019-02-27,Sweden,7623,0.5838011773579954
2019-02-28,Sweden,7483,0.5887990726981157
2019-03-01,Sweden,8059,0.5981511258220623
2019-03-02,Sweden,9093,0.5918359908720994
2019-03-03,Sweden,4094,0.5811730442110405
2019-03-04,Sweden,7064,0.5833663356455265
2019-03-05,Sweden,8057,0.5914763333747052
2019-03-06,Sweden,7384,0.5877036821505959
2019-03-07,Sweden,6812,0.5947890490311216
2019-03-08,Sweden,6837,0.6071359673833553
2019-03-09,Sweden,8100,0.6025581991358024
2019-03-10,Sweden,6781,0.5859556690753577
2019-03-11,Sweden,6007,0.5818423852172465
2019-03-12,Sweden,6227,0.5897136277501204
2019-03-13,Sweden,5563,0.5819687420456588
2019-03-14,Sweden,6448,0.5897325868486352
2019-03-15,Sweden,3783,0.5868328868622785
2019-03-16,Sweden,4035,0.5906195737298637
2019-03-17,Sweden,6675,0.5783972546816479
2019-03-18,Sweden,5963,0.5834645784001341
2019-03-19,Sweden,6487,0.5942659284723293
2019-03-20,Sweden,6536,0.5938966075581397
2019-03-21,Sweden,6529,0.5985288865063563
2019-03-22,Sweden,6971,0.590436701190647
2019-03-23,Sweden,6716,0.5934039937462775
2019-03-24,Sweden,6403,0.5892924274558801
2019-03-25,Sweden,5782,0.5849729420615704
2019-03-26,Sweden,6958,0.5813401979016959
2019-03-27,Sweden,6644,0.588456235550873
2019-03-28,Sweden,6822,0.5961193783347992
2019-03-29,Sweden,7144,0.600180777855543
2019-03-30,Sweden,7227,0.5976222879479729
2019-03-31,Sweden,6803,0.5900200701161252
2019-04-01,Sweden,6953,0.5913627540629944
2019-04-02,Sweden,7261,0.5893115137033467
2019-04-03,Sweden,7302,0.5998837145987401
2019-04-04,Sweden,7093,0.5946477087269139
2019-04-05,Sweden,7513,0.602322748169839
2019-04-06,Sweden,7907,0.6042830354116606
2019-04-07,Sweden,6748,0.5852110334914049
2019-04-08,Sweden,7010,0.590999819400856
2019-04-09,Sweden,6946,0.5904622601497264
2019-04-10,Sweden,7489,0.5968968234744291
2019-04-11,Sweden,7567,0.6009391073080481
2019-04-12,Sweden,7615,0.6063309072882468
2019-04-13,Sweden,7035,0.6073620096659559
2019-04-14,Sweden,6608,0.5910511375605326
2019-04-15,Sweden,6305,0.572297371927042
2019-04-16,Sweden,6706,0.5805069281240679
2019-04-17,Sweden,6618,0.5966318342399516
2019-04-18,Sweden,7469,0.5971066643459634
2019-04-19,Sweden,6768,0.6011420530437352
2019-04-20,Sweden,6942,0.603974281042927
2019-04-21,Sweden,6635,0.5957783020346646
2019-04-22,Sweden,6271,0.5853376526869718
2019-04-23,Sweden,6513,0.5911349887916475
2019-04-24,Sweden,7259,0.5957007160765946
2019-04-25,Sweden,7524,0.5969123215045189
2019-04-26,Sweden,7699,0.6060972570463696
2019-04-27,Sweden,7753,0.5967361443312266
2019-04-28,Sweden,6998,0.5889792294941413
2019-04-29,Sweden,6754,0.5853986562037311
2019-04-30,Sweden,6867,0.5941984022134847
2019-05-01,Sweden,7209,0.5812686742960188
2019-05-02,Sweden,7663,0.5909828888163905
2019-05-03,Sweden,8241,0.6037792754520082
2019-05-04,Sweden,8200,0.6064949308536586
2019-05-05,Sweden,7853,0.5831381394371578
2019-05-06,Sweden,7091,0.5812295216471584
2019-05-07,Sweden,7524,0.5882763149920255
2019-05-08,Sweden,7468,0.5872657852169255
2019-05-09,Sweden,7089,0.6010168699393427
2019-05-10,Sweden,7940,0.5967730823677582
2019-05-11,Sweden,7287,0.5955681988472622
2019-05-12,Sweden,7242,0.5886464846727423
2019-05-13,Sweden,7248,0.5777776821192052
2019-05-14,Sweden,7448,0.5903194493823846
2019-05-15,Sweden,7466,0.5962115717921243
2019-05-16,Sweden,7673,0.5970322846344325
2019-05-17,Sweden,7633,0.6010108929647583
2019-05-18,Sweden,9296,0.6002459053356283
2019-05-19,Sweden,6501,0.5875725434548531
2019-05-20,Sweden,7030,0.5923839746799431
2019-05-21,Sweden,7488,0.5805413994391025
2019-05-22,Sweden,7439,0.5950505908052157
2019-05-23,Sweden,8116,0.5944898802365698
2019-05-24,Sweden,8231,0.6017548019681691
2019-05-25,Sweden,7771,0.5992273583837344
2019-05-26,Sweden,8516,0.5890521858853922
2019-05-27,Sweden,6873,0.5952102717881566
2019-05-28,Sweden,7303,0.5903031276187868
2019-05-29,Sweden,7504,0.5905518164978678
2019-05-30,Sweden,7058,0.5836269844148484
2019-05-31,Sweden,6997,0.6012302405316563
2019-06-01,Sweden,7896,0.5970465918186424
2019-06-02,Sweden,6943,0.5911821855105862
2019-06-03,Sweden,6319,0.5896849044152556
2019-06-04,Sweden,6728,0.5978778134661118
2019-06-05,Sweden,7406,0.5961913840129625
2019-06-06,Sweden,2796,0.6231612936337626
2019-06-07,Sweden,2,0.3586705
2019-06-08,Sweden,1,0.821681
2019-06-10,Sweden,2,0.5613375
2019-06-11,Sweden,3,0.67078
2019-06-13,Sweden,1,0.708651
2019-06-14,Sweden,2,0.7452705
2019-06-16,Sweden,1,0.932717
2019-06-17,Sweden,2,0.4124029999999999
2019-06-18,Sweden,4,0.8545655
2019-06-19,Sweden,5,0.5451878
2019-06-20,Sweden,5,0.7101396
2019-06-21,Sweden,2,0.158371
2019-06-22,Sweden,3,0.4971859999999999
2019-06-23,Sweden,1828,0.5921778205689279
2019-06-24,Sweden,7109,0.5845378022225348
2019-06-25,Sweden,6705,0.5929093767337807
2019-06-26,Sweden,6675,0.593638823670412
2019-06-27,Sweden,5189,0.5958309261900173
2019-06-28,Sweden,7102,0.5994960532244438
2019-06-29,Sweden,7346,0.5958210524094745
2019-06-30,Sweden,6662,0.5913543014109878
2019-07-01,Sweden,7713,0.5986299789964995
2019-07-02,Sweden,1144,0.6026197534965035
2019-07-03,Sweden,5573,0.5956571910999462
2019-07-04,Sweden,6864,0.6000392488344989
2019-07-05,Sweden,914,0.5933648818380745
2019-07-06,Sweden,5978,0.6030141938775511
2019-07-07,Sweden,5855,0.5865743731853117
2019-07-08,Sweden,6533,0.5976477636614113
2019-07-09,Sweden,6795,0.5923900687270052
2019-07-10,Sweden,6872,0.5932974067229336
2019-07-11,Sweden,5800,0.5858086218965517
2019-07-12,Sweden,5744,0.6000288953690808
2019-07-13,Sweden,6735,0.6024504108389013
2019-07-14,Sweden,6394,0.5985697040975915
2019-07-15,Sweden,6538,0.5866989282655246
2019-07-16,Sweden,6227,0.593693579251646
2019-07-17,Sweden,6290,0.5963004753577107
2019-07-18,Sweden,5915,0.5929178808114962
2019-07-19,Sweden,6268,0.5991634390555202
2019-07-20,Sweden,6731,0.590429831822909
2019-07-21,Sweden,6152,0.5841206072821846
2019-07-22,Sweden,6416,0.5829163424251871
2019-07-23,Sweden,6057,0.5910593807165263
2019-07-24,Sweden,5921,0.5907874232393177
2019-07-25,Sweden,6574,0.5903374291146942
2019-07-26,Sweden,6487,0.6034774186835209
2019-07-27,Sweden,6958,0.5841563249496982
2019-07-28,Sweden,6233,0.5873573970800577
2019-07-29,Sweden,6509,0.5904844688892303
2019-07-30,Sweden,6118,0.5915295289310233
2019-07-31,Sweden,6437,0.5939262802547771
2019-08-01,Sweden,6631,0.5968948184285929
2019-08-02,Sweden,6531,0.5986107230133211
2019-08-03,Sweden,6322,0.6003377602024675
