datetime,temp,humidity,precip,windspeed,cloudcover,visibility,uvindex,city,year_month,year,month,day,day_of_week,season,temp_roll7,country,n,score,date
2019-01-01,8.8,76.3,0.0,16.5,22.3,15.6,4.0,Barcelona,2019-01,2019,1,1,1,winter,8.8,Spain,74727,0.6329332143535804,2019-01-01
2019-01-02,7.3,67.7,0.0,20.2,5.8,16.4,4.0,Barcelona,2019-01,2019,1,2,2,winter,8.05,Spain,73857,0.597487668332047,2019-01-02
2019-01-03,5.8,72.7,0.0,17.9,5.599999999999999,15.0,4.0,Barcelona,2019-01,2019,1,3,3,winter,7.3,Spain,77294,0.590330687595415,2019-01-03
2019-01-04,5.3,74.7,0.0,16.5,19.9,13.4,4.0,Barcelona,2019-01,2019,1,4,4,winter,6.8,Spain,74888,0.5922957559155005,2019-01-04
2019-01-05,6.8,66.9,0.0,16.8,11.300000000000002,13.1,4.0,Barcelona,2019-01,2019,1,5,5,winter,6.8,Spain,78497,0.5977137680038728,2019-01-05
2019-01-06,9.4,49.0,0.0,20.3,6.0,16.4,4.0,Barcelona,2019-01,2019,1,6,6,winter,7.233333333333333,Spain,79275,0.5943463587007254,2019-01-06
2019-01-07,7.5,58.20000000000001,0.0,15.6,28.3,15.4,4.0,Barcelona,2019-01,2019,1,7,0,winter,7.271428571428571,Spain,74006,0.5884334892576277,2019-01-07
2019-01-08,6.5,66.3,0.0,18.6,31.2,13.4,4.0,Barcelona,2019-01,2019,1,8,1,winter,6.942857142857142,Spain,77124,0.5888481045329599,2019-01-08
2019-01-09,8.5,68.9,0.0,26.5,13.4,15.199999999999998,4.0,Barcelona,2019-01,2019,1,9,2,winter,7.114285714285714,Spain,77085,0.5920242943114743,2019-01-09
2019-01-10,6.400000000000001,51.4,0.0,25.8,12.4,16.2,4.0,Barcelona,2019-01,2019,1,10,3,winter,7.200000000000001,Spain,79879,0.5908570310219207,2019-01-10
2019-01-11,3.8,55.4,0.0,13.4,2.3,16.3,4.0,Barcelona,2019-01,2019,1,11,4,winter,6.985714285714286,Spain,74062,0.5952758333423348,2019-01-11
2019-01-12,5.3,63.0,0.0,15.199999999999998,1.0,15.9,4.0,Barcelona,2019-01,2019,1,12,5,winter,6.771428571428571,Spain,74698,0.5943602066989745,2019-01-12
2019-01-13,7.7,69.1,0.0,14.699999999999998,17.8,15.6,4.0,Barcelona,2019-01,2019,1,13,6,winter,6.528571428571429,Spain,83262,0.5886657508467249,2019-01-13
2019-01-14,10.9,67.5,0.0,18.8,42.5,16.3,3.0,Barcelona,2019-01,2019,1,14,0,winter,7.014285714285714,Spain,78389,0.5897004394366556,2019-01-14
2019-01-15,8.1,79.5,0.0,16.1,5.900000000000001,14.300000000000002,4.0,Barcelona,2019-01,2019,1,15,1,winter,7.242857142857143,Spain,77720,0.5899613405944416,2019-01-15
2019-01-16,8.4,83.6,0.0,20.3,42.0,11.199999999999998,3.0,Barcelona,2019-01,2019,1,16,2,winter,7.228571428571429,Spain,79029,0.5911473191107062,2019-01-16
2019-01-17,9.6,78.7,5.0,16.6,50.1,10.0,3.0,Barcelona,2019-01,2019,1,17,3,winter,7.685714285714285,Spain,79047,0.5904126354067833,2019-01-17
2019-01-18,7.0,80.6,6.645,16.4,52.5,11.5,1.0,Barcelona,2019-01,2019,1,18,4,winter,8.142857142857142,Spain,77578,0.5921078575369306,2019-01-18
2019-01-19,6.5,77.0,0.0,14.9,31.0,11.5,4.0,Barcelona,2019-01,2019,1,19,5,winter,8.314285714285715,Spain,76299,0.5905871412862554,2019-01-19
2019-01-20,7.3,89.09999999999998,26.81,27.8,58.4,9.3,1.0,Barcelona,2019-01,2019,1,20,6,winter,8.257142857142856,Spain,86402,0.588744207367885,2019-01-20
2019-01-21,6.400000000000001,81.6,0.0,11.6,18.2,12.5,5.0,Barcelona,2019-01,2019,1,21,0,winter,7.614285714285715,Spain,80668,0.5874408894976942,2019-01-21
2019-01-22,5.3,69.5,0.0,16.7,33.5,15.5,5.0,Barcelona,2019-01,2019,1,22,1,winter,7.214285714285714,Spain,83138,0.5863636177079073,2019-01-22
2019-01-23,7.400000000000001,69.0,0.002,23.3,35.0,16.6,4.0,Barcelona,2019-01,2019,1,23,2,winter,7.071428571428571,Spain,83429,0.5861550700236129,2019-01-23
2019-01-24,7.8,38.6,0.0,27.2,7.0,17.2,2.0,Barcelona,2019-01,2019,1,24,3,winter,6.814285714285715,Spain,83085,0.5961591433832821,2019-01-24
2019-01-25,6.7,54.79999999999999,0.0,14.5,6.3,15.699999999999998,5.0,Barcelona,2019-01,2019,1,25,4,winter,6.771428571428572,Spain,74992,0.5993335426045445,2019-01-25
2019-01-26,9.3,75.3,0.0,18.8,14.1,15.699999999999998,5.0,Barcelona,2019-01,2019,1,26,5,winter,7.171428571428572,Spain,79559,0.5919815940371297,2019-01-26
2019-01-27,9.5,67.4,0.0,27.7,22.7,15.1,5.0,Barcelona,2019-01,2019,1,27,6,winter,7.485714285714287,Spain,86528,0.591221168696838,2019-01-27
