url,paragraph,cities,total_key_terms,climate,mental_health,population,methodology,sentiment_score
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"Cognitive performance and stress worsen on high-pollution days in Barcelona. These are the preliminary results of  CitieS-Health, a European citizen-science study coordinated by Ideas for Change and the Barcelona Institute for Global Health (ISGlobal)—a centre supported by the ”la Caixa” Foundation—with the goal of measuring how pollution affects the mental health of people in the city. The study took place over several months, with the voluntary participation of nearly 300 residents, who enabled the researchers to collect information on habits and mobility  over the course of 160 days.",['Barcelona'],5,2,3,0,0,0.0
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"Research has shown that people have greater difficulty concentrating on the days when air pollution is highest. Specifically, reaction time and cognitive performance can drop by about 5% on a high-pollution day compared to a day with clean air. On days with higher levels of pollution, stress levels also increase by roughly 0.5 (on a scale of 0-10) compared to a clear day. The study also found that, on high-pollution days, the cognitive health of people living close to a green or blue space (such as the sea) is less affected than that of people living farther away, whereas the relationship between air pollution and cognitive well-being does not seem to vary with noise exposure. The findings of the study are currently being written up in a scientific article for validation via the peer-review process.",,10,5,5,0,0,0.07500000000000001
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"The analysis conducted by the CitieS-Health team used citizen data provided by study participants. For two non-consecutive weeks, participants took a test of attention span and processing speed and answered a series of questions on stress level, mood and sleep quality via an app. In many cases, participants also provided their GPS mobility data to estimate the correspondence between pollutant concentration and time spent in different parts of the city. In addition, more than 260 volunteers wore apassive sampling device to measure the accumulated NO ₂ concentration they were exposed to over the course of a week.",,3,0,3,0,0,0.225
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"To compare the sample and establish correlations, the results were cross-checked against public data such as the average pollutant concentrations collected by the stations in Barcelona’s Air Pollution Monitoring and Forecasting Network, as well as the city’s strategic municipal noise map and land-use maps.",['Barcelona'],3,1,0,1,1,-0.049999999999999996
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"The public’s interest in the effects of pollution on mental health was evident throughout the project. In fact,  Barcelona residents themselves chose the subject of analysis  for this study. In 2019, a participatory process involving more than 1,000 inhabitants of Barcelona found that mental health was the issue that generated the most interest.",['Barcelona'],3,1,2,0,0,0.1261904761904762
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"The areas identified for exploration were art and greening to counteract pollution and its effects on mental health (in collaboration with Enverdim), sustainable mobility to improve health and quality of life (with contributions from WeCount), how our data can contribute to future health research (with the support of Salus Coop) and healthy habits to foster emotional well-being and mental health (coordinated by #PaulaDivulga).",,5,1,4,0,0,0.06000000000000001
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"The citizen recommendations will be presented on 17 September as a part of Park(ing) Day Barcelona 2021—a community-driven intervention to reclaim public space—and shared with the relevant government bodies to raise awareness. A stand set up at Carrer Padilla 230 will host an interactive and participatory visualisation of the study’s findings, the steps followed during the experiment, the final conclusions and a compilation of citizen actions to combat air pollution and improve mental health.",['Barcelona'],3,1,1,0,1,0.07500000000000001
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"You will not find any advertising or personalised tracking cookies on this website. We only use our own and third party cookies to improve your browsing experience, to protect your privacy, to know how many people visit us and what content is of most interest, such as Google's analytics cookies. You can ""Accept All Cookies"", ""Reject Optional Cookies"" (except necessary technical cookies) and ""Configure Cookies"". Please refer to our Cookie Policy and Privacy Policy for more details.
				
				






Newsroom


News










Cookies Policy










Share




Share on Facebook





Share on Twitter





Share on LinkedIn





Share by email





Our website www.isglobal.org (the ""Website"") uses cookies to collect information on how the Website is used.
A cookie is a file downloaded onto your machine (computer or mobile device) for storing data that may be updated and retrieved by the entity that installed it.
The information collected via cookies may include the date and time you visited the website, the pages you viewed, the time you spent on our website and the websites you visited before and after visiting our site.
We use cookies to facilitate your browsing of our Website, distinguish you from other users, provide you a better use experience and identify problems with our Website. If you provide your consent, we will use cookies to obtain information on your preferences and tailor our Website to your interests.
The purpose of this cookies policy is to provide you with clear and precise information on the cookies used on our Website (the ""Cookies Policy""). For more information on the cookies used on our Website, please email your questions to the Data Protection Officer: lopd@isglobal.org.
 
Type of cookies used on the Website
Our Website uses the cookies described below.
First-party cookies
These cookies are sent to your computer and handled only by us to improve the operation of the Website. Information collected is used to improve the quality of our service and your user experience. These cookies remain in your browser for longer. This allows us to recognise you when you return to the Website and tailor the content offered to your preferences.
Third-party analytics cookies
Interacting with the content of our Website can also cause the installation of third-party cookies (e.g., when you click on social network buttons or watch videos hosted on our Website). Third-party cookies are installed by other domains; not ours. We cannot access the data stored in the cookies of other websites when you browse those websites.
Our Website uses Google Analytics audience measurement system, Facebook, First Party, Twitter, Vimeo, YouTube, Instagram, Issuu and Opinion Stage. These tools allow us to know how users interact with our Website. We use ""persistent"" cookies. Persistent cookies store data on your terminal that can be accessed and processed during a defined time period by the owner of the cookie. This time period could be anything from a few minutes to several years.
Below is a list of cookies according to the purpose for which the data obtained is processed:

Technical cookies. These cookies allow you to browse a webpage, platform or application and use the options of the services you find there. For instance, they are used for monitoring web traffic and data communication, identifying the session, providing access to restricted areas, remembering elements in an order, carrying out the purchasing process of an order, performing a request for enrolment or participation in an event, using security elements during browsing, storing content for the playing of audiovisuals, and sharing content via social networks.
Personalisation cookies. These allow you to access the service and have some general characteristics predefined based on a series of criteria found in your terminal, such as language, browser type with which you are accessing the service, regional configuration from where you are accessing the service, etc.
Analytics cookies. These cookies allow monitoring and analysing user behaviour on a website. Information collected via this type of cookie is used to measure the activity of websites, applications or platforms and for creating the browsing profiles of users of these sites, applications and platforms. This allows introducing improvements based on the analysis of user usage of the service.
Advertising cookies. These allow managing, in the most effective manner possible, advertising spaces.
Behavioural advertising cookies. These cookies store information on user behaviour obtained via the continual monitoring of their browsing habits, which allows creating a specific profile for displaying targeted advertising based on this information.
External social network cookies. These cookies are used so visitors to websites can interact with the content of social networks (Facebook, YouTube, Twitter, LinkedIn, etc.). They are generated only for the users of these social networks. The conditions of use of these cookies and the information collected is governed by the privacy policy of the social network platform in question.

Along with our server's log files, these cookies tell us the total number of visitors to our Website and which parts of our site are the most popular. Thanks to them, we obtain information that helps us improve browsing and provide a better service to our users and clients.
Visit the following link to Google's website to read about the type of cookies used by Google Analytics and their expiry time.
Consent
By browsing and remaining on our Website, you provide consent for our use of the cookies described for the time periods specified under the conditions of this Cookies Policy.
 
Disabling and blocking cookies
Cookies are not required for using our Website. You can block and disable cookies by configuring your browser to block the installation of all or some cookies. Most browsers can be set to warn you of the presence of cookies or block them automatically. If you block cookies, you may continue using our Website. However, the use of some of its services may be limited, and your user experience may be diminished.
 
Withdrawing your consent
If at any time you want to withdraw the consent you gave under this Cookies Policy, delete the cookies stored on your machine (computer or mobile device) via the settings and configuration of your web browser.
For more information on deleting, disabling or blocking cookies, visit this page.
 
Changing your browser's cookie configuration and settings
Unless you have adjusted your browser's configuration, our system creates cookies when you visit our Website. All web browsers allow changing this configuration.
Click on the links below for how to adjust the cookie configuration of the following browsers:
Internet Explorer:

IE 5
IE 6, 7, 8 and 9
IE 11

Firefox
Chrome
Safari (and for iOS)
 
Changes to the Cookies Policy
We may update the Cookies Policy of our Website from time to time. We recommend that you review this policy each time you visit our Website so that you are adequately informed on how and for what we use cookies. The Cookies Policy was last updated on March 11, 2020.
 
Contact
For any query, comment or suggestion regarding our Cookies Policy, please email the Data Protection Officer: lopd@isglobal.org.
 
[Updated on March 11, 2020 · Photo: Christopher Burns / Unsplash]

















Newsroom


News










Privacy Policy










Share




Share on Facebook





Share on Twitter





Share on LinkedIn





Share by email





In accordance with the current data protection regulations, ISGlobal informs you of the following:
When you are requested to provide personal data for the provision of services, you will be informed of what data you must provide.
If you do not provide this required data, we will not be able to provide you with the services. The personal data you provide or that ISGlobal obtains as a result of your browsing, queries or requests via our webpage at www.isglobal.org (the “website”) will be included in a file owned by ISGlobal for managing, storing and tracking your requests for information and/or contracting of goods or services offered via the website. The information obtained from you by ISGlobal from the website when you sign up for a promotional event or send a form is processed with the utmost confidentiality for helping you to take part in the event in question or, in the second case, sending you the information you requested. The information obtained is not used for any other purpose. The personal data provided will not be disclosed or transferred to third parties without your consent.
When the completion of a form is requested, the user will be informed of the identity and data of the data controller and the Data Protection Officer, the purposes and legal basis of the treatment, the recipients of the data as well as, where appropriate, the international data transfers, the data retention periods and the user's ability to exercise their rights of access, rectification, deletion, portability, limitation and / or opposition to treatment, the right complaint to the control authority and the existence of automated decisions. The personal data collected will only be processed and / or transferred for the express purpose, and always with the consent of the user.
Information is only sent via the form(s) of the website after you have expressed your acceptance by selecting an ""ACCEPT/SEND"" (or similar) button, via which ISGlobal has proof that you gave your consent for it to process your personal data.
In all cases, you guarantee that the data you provide is true, exact, complete and up-to-date. ISGlobal may decline to provide the information or services requested to any user providing false data without prejudice to any other legal action open to it.
In virtue of Article 22 of Spanish Law 34/2002, of July 11, on the Information Society Services and Electronic Commerce, ISGlobal may store and retrieve ""cookies"" (data in a text file) from your machine, provided you have given consent and after we have provided you with clear and complete information on the use of these cookies. You may obtain complete information on the purpose for installing these cookies and what they are used for in ISGlobal's Cookies Policy.
This does not prevent any technical storage or access for the sole purpose of carrying out or facilitating the transmission of a communication over an electronic communications network, or as strictly necessary to provide an information society service expressly requested by you.
You may exercise your rights of access, rectification, erasure, objection, portability and restriction of the processing by sending a request to the Data Protection Officer via email (lopd@isglobal.org) or the ISGlobal postal address: c/ Rosselló, 132, 08036 Barcelona, Spain. The request must include your full name, address for notices, a photocopy of your ID document or passport and an indication of the right you want to exercise.
If you are unhappy with the processing done by ISGlobal or believe that your rights have been violated, you may file a claim with the Spanish Data Protection Agency at any time (www.aepd.es – C/ Jorge Juan, 6, Madrid).
ISGlobal has implemented the necessary technical and organizational security measures in order to guarantee the security of your personal data and prevent its alteration, loss, treatment and / or unauthorized access, considering the state of technology, the nature of the stored data and the risks to which they are exposed, whether they come from human action or the physical or natural environment, all in accordance with the provisions of current regulations.
In accordance with Law 34/2002, of 11 July, on the Services of the Information Society and Electronic Commerce, if you do not wish to receive electronic commercial notices from ISGlobal in the future, you may inform us of this preference by sending an email to the Data Protection Officer (lopd@isglobal.org).

[Updated on March 11, 2020 · Photo: Gilles Lambert / Unsplash]














ACCEPT ALL COOKIES


REJECT OPTIONAL COOKIES
REJECT COOKIES


CONFIGURE COOKIES",['Barcelona'],12,0,3,9,0,0.10060763888888884
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"The information collected via cookies may include the date and time you visited the website, the pages you viewed, the time you spent on our website and the websites you visited before and after visiting our site.",,1,0,0,1,0,-0.1
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"Our Website uses Google Analytics audience measurement system, Facebook, First Party, Twitter, Vimeo, YouTube, Instagram, Issuu and Opinion Stage. These tools allow us to know how users interact with our Website. We use ""persistent"" cookies. Persistent cookies store data on your terminal that can be accessed and processed during a defined time period by the owner of the cookie. This time period could be anything from a few minutes to several years.",,1,0,0,1,0,0.016666666666666663
