title,url,section,content
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Health Topics,NIMH offers expert-reviewed information on mental disorders and a range of topics. 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Statistics,"NIMH statistics pages include statistics on the prevalence, treatment, and costs of mental illness for the population of the United States. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Brochures and Fact Sheets,"Download, read, and order free NIMH brochures and fact sheets about mental disorders and related topics. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Help for Mental Illnesses,"If you or someone you know has a mental illness, there are ways to get help. Use these resources to find help for yourself, a friend, or a family member. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Clinical Trials,"If you or a friend or family member are thinking about taking part in clinical research, this page contains basic information about clinical trials. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Stakeholder Engagement,Find out how NIMH engages a range of stakeholder organizations as part of its efforts to ensure the greatest public health impact of the research we support. 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Connect with NIMH,"Learn more about NIMH newsletters, public participation in grant reviews, research funding, clinical trials, the NIMH Gift Fund, and connecting with NIMH on social media. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Digital Shareables,Use these free education and outreach materials in your community and on social media to spread the word about mental health and related topics. 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Science Education,"Use these free digital, outreach materials in your community and on social media to spread the word about mental health. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Upcoming Observances and Related Events,Get Involved observances calendar 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Research Funded by NIMH,"NIMH supports research at universities, medical centers, and other institutions via grants, contracts, and cooperative agreements. Learn more about NIMH research areas, policies, resources, and initiatives. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Research Conducted at NIMH (Intramural Research Program),"The Division of Intramural Research Programs (IRP) is the internal research division of the NIMH. Over 40 research groups conduct basic neuroscience research and clinical investigations of mental illnesses, brain function, and behavior at the NIH campus in Bethesda, Maryland. Learn more about research conducted at NIMH. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Priority Research Areas,"Learn about NIMH priority areas for research and funding that have the potential to improve mental health care over the short, medium, and long term. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Resources for Researchers,"Information about resources such as data, tissue, model organisms and imaging resources to support the NIMH research community. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Opportunities & Announcements,Find all NIMH and cross-NIH funding opportunities. 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Funding Strategy for Grants,"Read more about the NIMH Strategic Plan for Research, Strategic Research Priorities, the anatomy of NIMH funding, and our yearly funding strategy for research grants. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Application Process,"Explore the NIMH grant application process, including how to write your grant, how to submit your grant, and how the review process works. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Managing Grants,"Learn about how NIMH manages research grants, including policies and reporting requirements. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Clinical Research,"Find the latest NIH and NIMH policies, guidance, and resources for clinical research. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Training,Explore NIMH research training and career development opportunities. 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Small Business Research,Learn about funding opportunities for small businesses. 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Quick Links,Funding & Grant News Support for Clinical Trials at NIMH 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Science Updates,"List of NIMH science updates including press releases, research highlights, and institute announcements. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Meetings and Events,"Details about upcoming events—including meetings, conferences, workshops, lectures, webinars, and chats—sponsored by NIMH. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Multimedia,"NIMH videos and podcasts featuring science news, lecture series, meetings, seminars, and special events. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Social Media,"The latest information and resources on mental disorders shared on X, Facebook, YouTube, LinkedIn, and Instagram. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Press Resources,"Information about NIMH, research results, summaries of scientific meetings, and mental health resources. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Email Updates,"Updates about mental health topics, including NIMH news, upcoming events, mental disorders, funding opportunities, and research. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Innovation Speaker Series,"An annual lecture series dedicated to innovation, invention, and scientific discovery. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Contact the Press Office,301-443-4536 NIMHpress@nih.gov 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,About the Acting NIMH Director,"Learn more about the Acting Director of the NIMH, Shelli Avenevoli, Ph.D. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Advisory Boards and Groups,Read about the boards and groups that advise and provide guidance to the Institute. 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Strategic Plan,Learn more about NIMH's roadmap for the Institute’s research priorities over the next five years. 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Offices and Divisions,Learn more about the functions of each NIMH office and division. 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Budget,Read the annual NIMH Congressional Justifications. 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Careers at NIMH,"Search for jobs, including scientific, administrative and executive careers at NIMH. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Staff Directories,"Find the names, telephone numbers, email addresses, and office locations of NIMH staff. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,History,"Explore key milestones, discoveries, and the impact of NIMH-funded studies on mental health. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Getting to NIMH,"Find directions, maps, parking information, and other visitor information for NIMH. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,Quick Links,Contribute to Mental Health Research 
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,What is seasonal affective disorder?,"Many people go through short periods when they feel sad or unlike their usual selves. Sometimes, these mood changes begin and end when the seasons change. Many people feel ""down"" or have the ""winter blues"" when the days get shorter in the fall and winter and feel better in the spring when longer daylight hours return. Sometimes, these mood changes are more serious and can affect how a person feels, thinks, and behaves. If you have noticed significant changes in your mood and behavior when the seasons change, you may be experiencing seasonal affective disorder (SAD). In most cases, SAD symptoms start in the late fall or early winter and go away during the spring and summer, known as winter-pattern SAD or winter depression. Other people experience depressive symptoms during the spring and summer months, known as summer-pattern SAD or summer depression. Summer-pattern SAD is less common. "
Seasonal Affective Disorder,https://www.nimh.nih.gov/health/publications/seasonal-affective-disorder,How is SAD diagnosed?,"If you or someone you know is showing symptoms of SAD, talk to a health care provider or a mental health specialist about your concerns. They may have you fill out a questionnaire to determine if your symptoms meet the criteria for SAD. To be diagnosed with SAD, a person must meet the following criteria: "
